BlockSize,MatrixSize,TimeMs
8x8,200,0.42
8x8,400,0.91
8x8,800,4.25
8x8,1200,10.74
8x8,1600,23.81
8x8,2000,44.92

16x8,200,0.39
16x8,400,0.77
16x8,800,3.18
16x8,1200,8.31
16x8,1600,17.94
16x8,2000,34.25

16x16,200,0.37
16x16,400,0.69
16x16,800,2.74
16x16,1200,7.12
16x16,1600,15.82
16x16,2000,30.16

32x8,200,0.38
32x8,400,0.71
32x8,800,2.89
32x8,1200,7.45
32x8,1600,16.01
32x8,2000,30.92

32x16,200,0.36
32x16,400,0.66
32x16,800,2.51
32x16,1200,6.48
32x16,1600,14.93
32x16,2000,28.54

32x32,200,0.40
32x32,400,0.73
32x32,800,2.63
32x32,1200,6.91
32x32,1600,15.24
32x32,2000,29.11
