MatrixSize,Processes,TimeMs,Operations
200,1,86.4,16000000
400,1,748,128000000
800,1,5920,1024000000
1200,1,20800,3456000000
1600,1,65700,8192000000
2000,1,131000,16000000000
4000,1,842000,128000000000
200,2,43.9,16000000
400,2,382,128000000
800,2,3040,1024000000
1200,2,10500,3456000000
1600,2,33800,8192000000
2000,2,68100,16000000000
4000,2,431000,128000000000
200,4,23.1,16000000
400,4,194,128000000
800,4,1580,1024000000
1200,4,5470,3456000000
1600,4,17600,8192000000
2000,4,35500,16000000000
4000,4,221000,128000000000
200,8,12.7,16000000
400,8,101,128000000
800,8,842,1024000000
1200,8,2940,3456000000
1600,8,9680,8192000000
2000,8,19600,16000000000
4000,8,114000,128000000000
